3481,,28349287,Tustin Marine Corps Air Station
3481,,28996761,Los Angeles Air Force Base-Area A
3481,,28996762,Los Angeles Air Force Base-Area B
3482,,12513979,?????
3484,,12523041,??????
3485,,12514037,????
3485,ITM,12514009,??????
3486,NKM,23388304,??????
3486,,90037139,???????
3487,,12513950,????
3488,,12520434,Kelso Longview Airport
3489,PAE,12521896,Snohomish County Airport-Paine Field
3513,,12517537,Armilla Airport
3517,PRM,12523961,Portimao Airport
3531,UTL,12523968,Aeropuerto de Torremolinos
3531,AGP,23232917,Aeropuerto de Málaga
3533,,12517565,Rota Naval Station
3538,TTU,12514792,Sania Ramel Airport
3541,,12514794,Taouima Airport
3541,MLN,12517556,Aeropuerto de Melilla
3541,NDR,24554857,Nador Airport
3566,,12514793,Sidi Slimane Airport
3569,RBA,12514791,Sale Airport
3572,,12514782,Bassatine Airport
3599,ERH,12514786,Er Rachidia Airport
3600,,12523044,Menara Airport
3601,,12510339,Ouakda Airport
3604,OZZ,12514789,Ouarzazate Airport
3608,AGA,12523043,Almassira Airport
3614,,12514805,Nouadhibou Airport
3615,,12514806,Nouakchott Airport
3623,,12517507,Kaolack Airport
3633,ZIG,12517511,Ziguinchor Airport
3634,OUA,12522555,Ouagadougou Airport
3638,BOY,12522554,Bobo Dioulasso Airport
3646,JMY,12523368,Mammy Yoko Heliport
3649,,12517520,Kenema Airport
3650,BYK,12513871,Bouake Airport
3653,,12513024,Sunyani Airport
3657,,12513023,Kumasi Airport
3673,ABJ,12513870,Abidjan Port Bouet Airport
3676,,12513025,Takoradi Airport
3681,SVQ,12517571,Aeropuerto de Sevilla
3681,,12517574,Tablada Airport
3688,CKY,12513342,Conakry Airport
3689,CAS,12514780,Anfa Airport
3689,CMN,12514788,Mohamed V Airport
3690,,12514602,Monrovia Spriggs Payne Airport
3696,RCH,12512362,Almirante Padilla Airport
3697,CZE,12522796,Jose Leonardo Chirinos Airport
3698,,12523627,Maicao Airport
3702,BAQ,12512376,Ernesto Cortissoz Airport
3707,CCS,12522849,Simon Bolivar International Airport
3709,,12522785,Gen Francisco de Miranda Air Base
3710,,12512361,Alfonso Lopez Airport
3711,PBL,12522759,Bartolome Salom Airport
3713,CUM,12522754,Antonio Jose de Sucre Airport
3716,CBS,12522825,Oro Negro Airport
3721,,12522778,El Libertador Air Base
3722,VLN,12522858,Zim Valencia Airport
3723,BLA,12522795,Jose Antonio Anzoategui Airport
3725,VCR,12522766,Carora Airport
